"","tsn","scientificname","kingdom","phylum","classname","ordername","family","genus","species","myersname","commonname1","commonname2","myersscientificname","myersfamily"
"43",159911,"Lamna nasus","Animalia","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Lamna","nasus","PORB","Porbeagle","NA","NA","NA"
"44",164499,"Lophius americanus","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","americanus","MONK","Monkfish","Goosefish","NA","NA"
"45",164502,"Lophius budegassa","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","budegassa","BMONK","Black anglerfish","Black-bellied angler","NA","NA"
"46",164501,"Lophius piscatorius","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","piscatorius","MONK","Angler","Monkfish","NA","NA"
"47",164740,"Brosme brosme","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Brosme","brosme","CUSK","Cusk","Torsk","NA","NA"
"48",164761,"Molva dypterygia","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Molva","dypterygia","BLING","Blue ling","NA","NA","NA"
"49",164760,"Molva molva","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Molva","molva","LING","Ling","NA","NA","NA"
"50",168860,"Lutjanus synagris","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","synagris","LSNAP","Lane snapper","Silk snapper","NA","NA"
"51",168853,"Lutjanus campechanus","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","campechanus","RSNAP","Red snapper","NA","NA","NA"
"52",165421,"Macrourus berglax","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus","berglax","RGHGRN","Roughhead grenadier","NA","NA","NA"
"53",164798,"Merluccius capensis","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","capensis","CHAKE","Shallow-water cape hake","South African hake","NA","NA"
"54",164795,"Merluccius merluccius","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","merluccius","HAKE","Hake","European hake","NA","NA"
"55",164799,"Merluccius gayi","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","gayi","PEHAKE","Peruvian hake","NA","NA","NA"
"56",164792,"Merluccius productus","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","productus","PHAKE","Pacific hake","North Pacific hake","NA","NA"
"57",164791,"Merluccius bilinearis","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","bilinearis","SHAKE","Silver Hake","NA","NA","NA"
"58",642916,"Patagonotothen guntheri","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Patagonotothen","guntheri","PATAG","Yellowfin notothen","NA","NA","NA"
"59",642852,"Gobionotothen gibberifrons","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Gobionotothen","gibberifrons","GOBIO","Humped rockcod ","NA","NA","NA"
"60",642886,"Lepidonotothen squamifrons","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Lepidonotothen","squamifrons","LEPSQ","Grey rockcod","NA","NA","NA"
"61",171105,"Notothenia rossii","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Notothenia","rossii","NOTOR","Marbled rockcod","NA","NA","NA"
"62",162035,"Mallotus villosus","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","villosus","CAPE","Capelin","NA","NA","NA"
"63",172735,"Paralichthys dentatus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","dentatus","SFLOUN","Summer flounder","NA","NA","NA"
"64",645441,"Pseudopentaceros wheeleri","Animalia","Chordata","Actinopterygii","Perciformes","Pentacerotidae","Pseudopentaceros","wheeleri","PAHEAD","Pelagic armorhead","NA","NA","NA"
"65",164730,"Urophycis chuss","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Urophycis","chuss","RHAKE","Red hake","NA","NA","NA"
"66",164732,"Urophycis tenuis","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Urophycis","tenuis","WHAKE","White hake","NA","NA","NA"
"67",172868,"Eopsetta jordani","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Eopsetta","jordani","PSOLE","Petrale sole","NA","NA","NA"
"68",172873,"Glyptocephalus cynoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","cynoglossus","WITFLOUN","Witch flounder","NA","NA","NA"
"69",172877,"Hippoglossoides platessoides","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","platessoides","AMPL","American plaice","NA","NA","NA"
"70",616041,"Hippoglossoides dubius","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","dubius","FLFLOUN","Flathead flounder","NA","NA","NA"
